cycle_num,cycle_id,finished_at,pipeline_semantics,attack,defense,baseline_mAP50,attack_mAP50,defended_mAP50,detection_drop_pct,recovery_pct,best_attack_params,best_defense_params
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,pgd,none,,0.5511394762563349,,,,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}",
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,blur,confidence_filter,,,0.526001802072049,,,"{""attack.params.kernel_size"": 9}","{""defense.params.threshold"": 0.7}"
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,blur,median_preprocess,,,0.44641903079844925,,,"{""attack.params.kernel_size"": 9}","{""defense.params.kernel_size"": 7}"
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,gaussian_blur,confidence_filter,,,0.526001802072049,,,"{""attack.params.kernel_size"": 9}","{""defense.params.threshold"": 0.7}"
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,gaussian_blur,median_preprocess,,,0.44641903079844925,,,"{""attack.params.kernel_size"": 9}","{""defense.params.kernel_size"": 7}"
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,pgd,confidence_filter,,0.5511394762563349,0.5511394762563349,,,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}","{""defense.params.threshold"": 0.7}"
1,cycle_20260322_213001,2026-03-23T02:18:10.500366,legacy_unknown,pgd,median_preprocess,,0.5511394762563349,0.3853972539620828,,,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}","{""defense.params.kernel_size"": 7}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,blur,none,0.6001591766396535,0.3159871188860542,,55.5,,"{""attack.params.kernel_size"": 25}",
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,gaussian_blur,none,0.6001591766396535,0.3159871188860542,,55.5,,"{""attack.params.kernel_size"": 25}",
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,pgd,none,0.6001591766396535,0.5511394762563349,,11.7,,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}",
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,blur,confidence_filter,0.6001591766396535,0.3159871188860542,0.3159871188860542,,-68.1,"{""attack.params.kernel_size"": 25}","{""defense.params.threshold"": 0.8999999999999999}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,blur,median_preprocess,0.6001591766396535,0.3159871188860542,0.2724186584224304,,-5.6,"{""attack.params.kernel_size"": 25}","{""defense.params.kernel_size"": 7}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,gaussian_blur,confidence_filter,0.6001591766396535,0.3159871188860542,0.3159871188860542,,-68.1,"{""attack.params.kernel_size"": 25}","{""defense.params.threshold"": 0.8999999999999999}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,gaussian_blur,median_preprocess,0.6001591766396535,0.3159871188860542,0.2724186584224304,,-5.6,"{""attack.params.kernel_size"": 25}","{""defense.params.kernel_size"": 7}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,pgd,confidence_filter,0.6001591766396535,0.5511394762563349,0.5511394762563349,,-595.8,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}","{""defense.params.threshold"": 0.8999999999999999}"
2,cycle_20260323_023001,2026-03-23T06:55:49.053635,legacy_unknown,pgd,median_preprocess,0.6001591766396535,0.5511394762563349,0.3853972539620828,,-179.8,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}","{""defense.params.kernel_size"": 7}"
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,blur,none,0.6001591766396535,0.3159871188860542,,55.5,,"{""attack.params.kernel_size"": 25}",
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,gaussian_blur,none,0.6001591766396535,0.3159871188860542,,55.5,,"{""attack.params.kernel_size"": 25}",
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,pgd,none,0.6001591766396535,0.5511394762563349,,11.7,,"{""attack.params.epsilon"": 0.016, ""attack.params.steps"": 10}",
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,blur,confidence_filter,0.6001591766396535,0.3159871188860542,0.3159871188860542,,-68.1,"{""attack.params.kernel_size"": 25}","{""defense.params.threshold"": 0.8999999999999999}"
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,blur,median_preprocess,0.6001591766396535,0.3159871188860542,0.2724186584224304,,-5.6,"{""attack.params.kernel_size"": 25}","{""defense.params.kernel_size"": 7}"
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,gaussian_blur,confidence_filter,0.6001591766396535,0.3159871188860542,0.3159871188860542,,-68.1,"{""attack.params.kernel_size"": 25}","{""defense.params.threshold"": 0.8999999999999999}"
3,cycle_20260323_065549,2026-03-23T11:20:52.691412,legacy_unknown,gaussian_blur,median_preprocess,0.6001591766396535,0.3159871188860542,0.2724186584224304,,-5.6,"{""attack.params.kernel_size"": 25}","{""defense.params.kernel_size"": 7}"
