run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_blur,yolo,blur,none,42,,,,8,8,16,0.7271771840751171,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_deepfool,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,7,9,0.7549481458134122,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_eot_pgd,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,14,0.795614847115108,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_fgsm,yolo,fgsm,none,42,untargeted_conf_suppression,,,8,8,17,0.7520905627923853,missing,,,,
attack_jpeg_attack,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_jpeg_attack,yolo,jpeg_attack,none,42,,,,8,8,21,0.7484739167349679,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_pgd,yolo,pgd,none,42,untargeted_conf_suppression,,,8,8,18,0.7646069924036661,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/attack_square,yolo,square,none,42,,,,8,8,18,0.7183249162303077,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/baseline_none,yolo,none,none,42,,,,8,8,21,0.7658032888457889,missing,,,,
defended_blur_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_bit_depth,yolo,blur,bit_depth,42,,,,8,8,17,0.6946808310116038,missing,,,,
defended_blur_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_c_dog,yolo,blur,c_dog,42,,,,8,8,14,0.7215278191225869,missing,,,,
defended_blur_c_dog_ensemble,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_c_dog_ensemble,yolo,blur,c_dog_ensemble,42,,,,8,8,14,0.7271258703299931,missing,,,,
defended_blur_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_jpeg_preprocess,yolo,blur,jpeg_preprocess,42,,,,8,8,17,0.7005997861132902,missing,,,,
defended_blur_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_median_preprocess,yolo,blur,median_preprocess,42,,,,8,8,16,0.7016274966299534,missing,,,,
defended_blur_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_blur_random_resize,yolo,blur,random_resize,42,,,,8,8,12,0.7764825870593389,missing,,,,
defended_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_bit_depth,yolo,deepfool,bit_depth,42,untargeted_conf_suppression,,,8,7,8,0.7955008670687675,missing,,,,
defended_deepfool_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,untargeted_conf_suppression,,,8,5,5,0.7527940273284912,missing,,,,
defended_deepfool_c_dog_ensemble,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_c_dog_ensemble,yolo,deepfool,c_dog_ensemble,42,untargeted_conf_suppression,,,8,3,3,0.8317590157190958,missing,,,,
defended_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,untargeted_conf_suppression,,,8,5,5,0.8412075757980346,missing,,,,
defended_deepfool_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,untargeted_conf_suppression,,,8,6,6,0.783487876256307,missing,,,,
defended_deepfool_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_deepfool_random_resize,yolo,deepfool,random_resize,42,untargeted_conf_suppression,,,8,5,5,0.8165155529975892,missing,,,,
defended_eot_pgd_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_bit_depth,yolo,eot_pgd,bit_depth,42,untargeted_conf_suppression,,,8,7,11,0.8552254221656106,missing,,,,
defended_eot_pgd_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_c_dog,yolo,eot_pgd,c_dog,42,untargeted_conf_suppression,,,8,8,11,0.732385749166662,missing,,,,
defended_eot_pgd_c_dog_ensemble,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_c_dog_ensemble,yolo,eot_pgd,c_dog_ensemble,42,untargeted_conf_suppression,,,8,6,6,0.7942102750142416,missing,,,,
defended_eot_pgd_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_jpeg_preprocess,yolo,eot_pgd,jpeg_preprocess,42,untargeted_conf_suppression,,,8,7,14,0.7865890647683825,missing,,,,
defended_eot_pgd_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_median_preprocess,yolo,eot_pgd,median_preprocess,42,untargeted_conf_suppression,,,8,7,10,0.8200460255146027,missing,,,,
defended_eot_pgd_random_resize,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/defended_eot_pgd_random_resize,yolo,eot_pgd,random_resize,42,untargeted_conf_suppression,,,8,7,14,0.8025132843426296,missing,,,,
tune_atk_blur_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_blur_001,yolo,blur,none,42,,,,8,8,11,0.7239191586321051,missing,,,,
tune_atk_blur_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_blur_002,yolo,blur,none,42,,,,8,5,6,0.7259889543056488,missing,,,,
tune_atk_blur_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_blur_003,yolo,blur,none,42,,,,8,8,13,0.7434408435454736,missing,,,,
tune_atk_blur_004,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_blur_004,yolo,blur,none,42,,,,8,5,5,0.7626296401023864,missing,,,,
tune_atk_blur_005,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_blur_005,yolo,blur,none,42,,,,8,8,11,0.7239191586321051,missing,,,,
tune_atk_deepfool_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_001,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,7,9,0.7549481458134122,missing,,,,
tune_atk_deepfool_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_002,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,7,0.7701365692274911,missing,,,,
tune_atk_deepfool_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_003,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,7,9,0.8024581538306342,missing,,,,
tune_atk_deepfool_004,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_004,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,7,0.7729748742921012,missing,,,,
tune_atk_deepfool_005,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_005,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,8,0.7346398681402206,missing,,,,
tune_atk_deepfool_006,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_006,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,6,0.8441576858361562,missing,,,,
tune_atk_deepfool_007,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_007,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,7,9,0.7549481458134122,missing,,,,
tune_atk_deepfool_008,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_008,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,7,0.7729748742921012,missing,,,,
tune_atk_deepfool_009,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_009,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,8,0.7346398681402206,missing,,,,
tune_atk_deepfool_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_deepfool_best,yolo,deepfool,none,42,untargeted_conf_suppression,,,8,6,7,0.7701365692274911,missing,,,,
tune_atk_eot_pgd_001,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_001,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,14,0.795614847115108,missing,,,,
tune_atk_eot_pgd_002,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_002,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,12,0.8228679398695627,missing,,,,
tune_atk_eot_pgd_003,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_003,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,17,0.7815793752670288,missing,,,,
tune_atk_eot_pgd_004,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_004,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,13,0.7687824001679053,missing,,,,
tune_atk_eot_pgd_005,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_005,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,15,0.7906030257542928,missing,,,,
tune_atk_eot_pgd_006,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_006,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,12,0.7823077986637751,missing,,,,
tune_atk_eot_pgd_007,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_007,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,8,13,0.8036994842382578,missing,,,,
tune_atk_eot_pgd_008,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_008,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,12,0.7596779565016428,missing,,,,
tune_atk_eot_pgd_009,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_009,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,13,0.7731657945192777,missing,,,,
tune_atk_eot_pgd_010,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_010,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,9,0.826884580983056,missing,,,,
tune_atk_eot_pgd_011,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_011,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,11,0.8219646107066761,missing,,,,
tune_atk_eot_pgd_012,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_012,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,6,9,0.8090351025263468,missing,,,,
tune_atk_eot_pgd_013,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260324_094635/tune_atk_eot_pgd_013,yolo,eot_pgd,none,42,untargeted_conf_suppression,,,8,7,10,0.7965655148029327,missing,,,,
