run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_blur,yolo,blur,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,,,,32,30,73,0.7566432789580463,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_deepfool,yolo,deepfool,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,untargeted_conf_suppression,,,32,18,23,0.7270611757817476,missing,,,,
attack_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_dispersion_reduction,yolo,dispersion_reduction,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,,,,12,10,24,0.7951196084419886,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_eot_pgd,yolo,eot_pgd,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,untargeted_conf_suppression,,,12,12,36,0.7927756839328342,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_fgsm,yolo,fgsm,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,untargeted_conf_suppression,,,32,28,81,0.7764275662692977,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_pgd,yolo,pgd,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,untargeted_conf_suppression,,,32,31,92,0.7503096875937089,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/attack_square,yolo,square,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,,,,8,8,18,0.7183249162303077,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/baseline_none,yolo,none,none,42,attack_then_defense,baseline,smoke,diagnostic,phase1,,,,32,32,100,0.7622534918785095,missing,,,,
consistency_atk_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/consistency_atk_square,yolo,square,none,42,attack_then_defense,consistency,smoke,diagnostic,phase3,,,,50,47,139,0.7544210360204573,missing,,,,
defended_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_deepfool_bit_depth,yolo,deepfool,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,untargeted_conf_suppression,,,32,19,24,0.739233560860157,missing,,,,
defended_deepfool_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,attack_then_defense,defended,smoke,diagnostic,phase2,untargeted_conf_suppression,,,32,19,23,0.7400528995887093,missing,,,,
defended_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,untargeted_conf_suppression,,,32,24,36,0.7575203428665797,missing,,,,
defended_deepfool_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,untargeted_conf_suppression,,,32,24,41,0.7457190504888209,missing,,,,
defended_dispersion_reduction_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_dispersion_reduction_bit_depth,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,25,50,0.7510868656635284,missing,,,,
defended_dispersion_reduction_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_dispersion_reduction_c_dog,yolo,dispersion_reduction,c_dog,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,21,47,0.7583514413935073,missing,,,,
defended_dispersion_reduction_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_dispersion_reduction_jpeg_preprocess,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,25,53,0.7524744384693649,missing,,,,
defended_dispersion_reduction_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_dispersion_reduction_median_preprocess,yolo,dispersion_reduction,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,30,60,0.7514580438534418,missing,,,,
defended_square_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_square_bit_depth,yolo,square,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,31,92,0.7373510605615118,missing,,,,
defended_square_c_dog,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_square_c_dog,yolo,square,c_dog,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,28,90,0.7389379064242045,missing,,,,
defended_square_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_square_jpeg_preprocess,yolo,square,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,29,86,0.7460108496421991,missing,,,,
defended_square_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/defended_square_median_preprocess,yolo,square,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,,,,32,29,75,0.7370519884427389,missing,,,,
tune_atk_deepfool__epsilon0.07625__steps170,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.07625__steps170,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,9,10,0.778701102733612,missing,,,,
tune_atk_deepfool__epsilon0.07625__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.07625__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,8,10,0.767610365152359,missing,,,,
tune_atk_deepfool__epsilon0.1525__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260407_193440/tune_atk_deepfool__epsilon0.1525__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,untargeted_conf_suppression,,,16,9,10,0.8117364883422852,missing,,,,
