run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_blur,yolo,blur,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,yolo11n_lab_v1,mAP50,canonical,,,,,,32,32,92,0.7300576846236768,missing,,,,
attack_deepfool,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_deepfool,yolo,deepfool,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,21,35,0.6787861279078893,missing,,,,
attack_dispersion_reduction,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_dispersion_reduction,yolo,dispersion_reduction,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,22,57,0.716151727918993,missing,,,,
attack_eot_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_eot_pgd,yolo,eot_pgd,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,12,12,43,0.7297572659891706,missing,,,,
attack_fgsm,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_fgsm,yolo,fgsm,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,29,95,0.7500420551551016,missing,,,,
attack_pgd,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_pgd,yolo,pgd,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase1,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,30,99,0.7440071262494482,missing,,,,
attack_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/attack_square,yolo,square,none,42,attack_then_defense,attack_only,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,29,94,0.7378159254155261,missing,,,,
baseline_none,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/baseline_none,yolo,none,none,42,attack_then_defense,baseline,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,32,112,0.746860922979457,missing,,,,
consistency_atk_square,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/consistency_atk_square,yolo,square,none,42,attack_then_defense,consistency,smoke,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,50,45,139,0.7376463859201335,missing,,,,
defended_deepfool_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_deepfool_bit_depth,yolo,deepfool,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,20,37,0.6763460458935918,missing,,,,
defended_deepfool_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_deepfool_jpeg_preprocess,yolo,deepfool,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,22,48,0.7028321151932081,missing,,,,
defended_deepfool_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,32,26,62,0.6966227254559917,missing,,,,
defended_dispersion_reduction_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_dispersion_reduction_bit_depth,yolo,dispersion_reduction,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,23,56,0.7263138783829552,missing,,,,
defended_dispersion_reduction_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_dispersion_reduction_jpeg_preprocess,yolo,dispersion_reduction,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,25,59,0.7249271354432834,missing,,,,
defended_dispersion_reduction_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_dispersion_reduction_median_preprocess,yolo,dispersion_reduction,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,28,66,0.7465436097347375,missing,,,,
defended_square_bit_depth,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_square_bit_depth,yolo,square,bit_depth,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,30,94,0.7447029402915467,missing,,,,
defended_square_jpeg_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_square_jpeg_preprocess,yolo,square,jpeg_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,29,94,0.733369397356155,missing,,,,
defended_square_median_preprocess,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/defended_square_median_preprocess,yolo,square,median_preprocess,42,attack_then_defense,defended,smoke,diagnostic,phase2,yolo11n_lab_v1,mAP50,canonical,,,,,,32,29,82,0.7409838975929632,missing,,,,
tune_atk_deepfool__epsilon0.15__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.15__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,3,3,0.6429120103518168,missing,,,,
tune_atk_deepfool__epsilon0.3__steps170,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.3__steps170,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_deepfool__epsilon0.3__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool__epsilon0.3__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_deepfool_scan__epsilon0.005__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.005__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,16,52,0.7771688309999613,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps10,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps10,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,13,26,0.6791788843961862,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps105,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps105,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,10,17,0.7550284687210532,missing,,,,
tune_atk_deepfool_scan__epsilon0.05__steps200,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.05__steps200,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,11,18,0.7188835574520959,missing,,,,
tune_atk_deepfool_scan__epsilon0.1525__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.1525__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,4,4,0.748178705573082,missing,,,,
tune_atk_deepfool_scan__epsilon0.3__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_deepfool_scan__epsilon0.3__steps50,yolo,deepfool,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,untargeted_conf_suppression,,,,,16,0,0,,missing,,,,
tune_atk_dispersion_reduction__epsilon0.075__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.075__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,21,0.7394646377790541,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.15__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,4,5,0.6890929818153382,missing,,,,
tune_atk_dispersion_reduction__epsilon0.15__steps80,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction__epsilon0.15__steps80,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,5,6,0.6878910064697266,missing,,,,
tune_atk_dispersion_reduction_best,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_best,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,4,5,0.6890929818153382,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,12,39,0.7812734582485297,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.7425272288145842,missing,,,,
tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,/home/lurch/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260430_135845/tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,yolo,dispersion_reduction,none,42,attack_then_defense,tune,tune,diagnostic,phase3,yolo11n_lab_v1,mAP50,canonical,,,,,,12,9,27,0.7684430148866441,missing,,,,
