run_name,run_dir,model,attack,defense,seed,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/attack_deepfool,yolo,deepfool,none,42,30,17,21,0.7317581176757812,missing,,,,
attack_fgsm,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/attack_fgsm,yolo,fgsm,none,42,30,27,80,0.7755926989018918,missing,,,,
attack_pgd,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/attack_pgd,yolo,pgd,none,42,30,30,97,0.7581318868804223,missing,,,,
baseline_none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/baseline_none,yolo,none,none,42,30,30,97,0.7629272808733675,missing,,,,
defended_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,30,5,5,0.8872584819793701,missing,,,,
defended_deepfool_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_deepfool_c_dog_ensemble,yolo,deepfool,c_dog_ensemble,42,30,3,3,0.5594344139099121,missing,,,,
defended_deepfool_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,30,13,16,0.757741067558527,missing,,,,
defended_fgsm_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_fgsm_c_dog,yolo,fgsm,c_dog,42,30,19,30,0.793241161108017,missing,,,,
defended_fgsm_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_fgsm_c_dog_ensemble,yolo,fgsm,c_dog_ensemble,42,30,7,7,0.6969999245234898,missing,,,,
defended_fgsm_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_fgsm_median_preprocess,yolo,fgsm,median_preprocess,42,30,27,71,0.7658359106157867,missing,,,,
defended_pgd_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_pgd_c_dog,yolo,pgd,c_dog,42,30,18,30,0.7669237653414408,missing,,,,
defended_pgd_c_dog_ensemble,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_pgd_c_dog_ensemble,yolo,pgd,c_dog_ensemble,42,30,4,4,0.6658102869987488,missing,,,,
defended_pgd_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T012354Z/defended_pgd_median_preprocess,yolo,pgd,median_preprocess,42,30,29,74,0.7581901050902702,missing,,,,
