run_name,run_dir,model,attack,defense,seed,objective_mode,target_class,attack_roi,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/attack_blur,yolo,blur,none,42,,,,500,450,1200,0.754694989323616,missing,,,,
attack_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/attack_deepfool,yolo,deepfool,none,42,,,,500,217,313,0.7481705845354464,missing,,,,
attack_fgsm,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/attack_fgsm,yolo,fgsm,none,42,,,,500,444,1260,0.762134217790195,missing,,,,
attack_pgd,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/attack_pgd,yolo,pgd,none,42,,,,500,447,1244,0.7640686331262926,missing,,,,
baseline_none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/baseline_none,yolo,none,none,42,,,,500,466,1437,0.7647724414585196,missing,,,,
defended_blur_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_blur_c_dog,yolo,blur,c_dog,42,,,,500,404,906,0.7565819537534356,missing,,,,
defended_blur_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_blur_median_preprocess,yolo,blur,median_preprocess,42,,,,500,448,1169,0.7522030019984478,missing,,,,
defended_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_deepfool_c_dog,yolo,deepfool,c_dog,42,untargeted_conf_suppression,,,500,109,127,0.7407523069794723,missing,,,,
defended_deepfool_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_deepfool_median_preprocess,yolo,deepfool,median_preprocess,42,untargeted_conf_suppression,,,500,172,218,0.7479641363708252,missing,,,,
defended_fgsm_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_fgsm_c_dog,yolo,fgsm,c_dog,42,untargeted_conf_suppression,,,500,403,931,0.7578055941200667,missing,,,,
defended_fgsm_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_fgsm_median_preprocess,yolo,fgsm,median_preprocess,42,untargeted_conf_suppression,,,500,443,1148,0.7591981771515637,missing,,,,
defended_pgd_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_pgd_c_dog,yolo,pgd,c_dog,42,untargeted_conf_suppression,,,500,396,948,0.7548787068214095,missing,,,,
defended_pgd_median_preprocess,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/sweep_20260321T183700Z/defended_pgd_median_preprocess,yolo,pgd,median_preprocess,42,untargeted_conf_suppression,,,500,435,1184,0.7572984410500204,missing,,,,
