run_name,run_dir,model,attack,defense,seed,semantic_order,run_role,dataset_scope,authority,source_phase,pipeline_profile,authoritative_metric,profile_compatibility_status,objective_mode,target_class,attack_roi,attack_artifact,placement_mode,prediction_count,images_with_detections,total_detections,avg_confidence,validation_status,precision,recall,mAP50,mAP50-95
attack_blur,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_blur,yolo,blur,none,42,legacy_unknown,,,,,,,,,,,,,32,30,73,0.756643098511108,missing,,,,
attack_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_deepfool,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,17,22,0.7268488786437295,missing,,,,
attack_eot_pgd,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_eot_pgd,yolo,eot_pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,26,79,0.7785452951358843,missing,,,,
attack_fgsm,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_fgsm,yolo,fgsm,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,28,81,0.7763301259205665,missing,,,,
attack_pgd,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_pgd,yolo,pgd,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,32,31,89,0.7463295767816265,missing,,,,
attack_square,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/attack_square,yolo,square,none,42,legacy_unknown,,,,,,,,,,,,,32,30,91,0.7432619641115378,missing,,,,
baseline_none,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/baseline_none,yolo,none,none,42,legacy_unknown,,,,,,,,,,,,,32,32,100,0.7622529721260071,missing,,,,
consistency_atk_deepfool,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/consistency_atk_deepfool,yolo,deepfool,none,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,50,28,38,0.7315371397294497,missing,,,,
consistency_deepfool_bit_depth,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/consistency_deepfool_bit_depth,yolo,deepfool,bit_depth,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,50,29,41,0.7210888760845836,missing,,,,
consistency_deepfool_c_dog,/Users/lurch/ml-labs/YOLO-Bad-Triangle/outputs/framework_runs/cycle_20260326_112654/consistency_deepfool_c_dog,yolo,deepfool,c_dog,42,legacy_unknown,,,,,,,,untargeted_conf_suppression,,,,,50,14,14,0.7637081870010921,missing,,,,
