model,seed,attack,objective_mode,target_class,attack_roi,attack_run,baseline_run,validation_status,baseline_mAP50,attack_mAP50,mAP50_drop,mAP50_effectiveness,baseline_avg_conf,attack_avg_conf,avg_conf_drop,avg_conf_effectiveness,baseline_total_detections,attack_total_detections,detection_drop,defense,defended_run,defended_mAP50,mAP50_recovery_normalized,defended_avg_conf,avg_conf_recovery_normalized,defended_total_detections,detection_recovery_normalized,bootstrap_det_drop_lower,bootstrap_det_drop_upper,bootstrap_det_drop_ci_computed,bootstrap_conf_drop_lower,bootstrap_conf_drop_upper,bootstrap_conf_drop_ci_computed
yolo,42,blur,,,,attack_blur,baseline_none,missing,,,,,0.746861,0.730058,0.016803,0.022498,112,92,0.178571,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,attack_deepfool,baseline_none,missing,,,,,0.746861,0.678786,0.068075,0.091148,112,35,0.687500,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,attack_dispersion_reduction,baseline_none,missing,,,,,0.746861,0.716152,0.030709,0.041118,112,57,0.491071,,,,,,,,,,,false,,,false
yolo,42,eot_pgd,untargeted_conf_suppression,,,attack_eot_pgd,baseline_none,missing,,,,,0.746861,0.729757,0.017104,0.022901,112,43,0.616071,,,,,,,,,,,false,,,false
yolo,42,fgsm,untargeted_conf_suppression,,,attack_fgsm,baseline_none,missing,,,,,0.746861,0.750042,-0.003181,-0.004259,112,95,0.151786,,,,,,,,,,,false,,,false
yolo,42,pgd,untargeted_conf_suppression,,,attack_pgd,baseline_none,missing,,,,,0.746861,0.744007,0.002854,0.003821,112,99,0.116071,,,,,,,,,,,false,,,false
yolo,42,square,,,,attack_square,baseline_none,missing,,,,,0.746861,0.737816,0.009045,0.012111,112,94,0.160714,,,,,,,,,,,false,,,false
yolo,42,square,,,,consistency_atk_square,baseline_none,missing,,,,,0.746861,0.737646,0.009215,0.012338,112,139,-0.241071,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool__epsilon0.15__steps200,baseline_none,missing,,,,,0.746861,0.642912,0.103949,0.139181,112,3,0.973214,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool__epsilon0.3__steps170,baseline_none,missing,,,,,0.746861,,,,112,0,1.000000,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool__epsilon0.3__steps200,baseline_none,missing,,,,,0.746861,,,,112,0,1.000000,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.005__steps50,baseline_none,missing,,,,,0.746861,0.777169,-0.030308,-0.040580,112,52,0.535714,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.05__steps10,baseline_none,missing,,,,,0.746861,0.679179,0.067682,0.090622,112,26,0.767857,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.05__steps105,baseline_none,missing,,,,,0.746861,0.755028,-0.008168,-0.010936,112,17,0.848214,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.05__steps200,baseline_none,missing,,,,,0.746861,0.718884,0.027977,0.037460,112,18,0.839286,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.1525__steps50,baseline_none,missing,,,,,0.746861,0.748179,-0.001318,-0.001764,112,4,0.964286,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,tune_atk_deepfool_scan__epsilon0.3__steps50,baseline_none,missing,,,,,0.746861,,,,112,0,1.000000,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction__epsilon0.075__steps100,baseline_none,missing,,,,,0.746861,0.739465,0.007396,0.009903,112,21,0.812500,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction__epsilon0.15__steps100,baseline_none,missing,,,,,0.746861,0.689093,0.057768,0.077348,112,5,0.955357,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction__epsilon0.15__steps80,baseline_none,missing,,,,,0.746861,0.687891,0.058970,0.078957,112,6,0.946429,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_best,baseline_none,missing,,,,,0.746861,0.689093,0.057768,0.077348,112,5,0.955357,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.01__steps50,baseline_none,missing,,,,,0.746861,0.781273,-0.034413,-0.046076,112,39,0.651786,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.05__steps100,baseline_none,missing,,,,,0.746861,0.742527,0.004334,0.005803,112,27,0.758929,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.05__steps20,baseline_none,missing,,,,,0.746861,0.768443,-0.021582,-0.028897,112,27,0.758929,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.05__steps60,baseline_none,missing,,,,,0.746861,0.746619,0.000242,0.000324,112,28,0.750000,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.08__steps50,baseline_none,missing,,,,,0.746861,0.743751,0.003110,0.004164,112,20,0.821429,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,tune_atk_dispersion_reduction_scan__epsilon0.15__steps50,baseline_none,missing,,,,,0.746861,0.731122,0.015738,0.021073,112,8,0.928571,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square__eps0.15__n_queries500,baseline_none,missing,,,,,0.746861,0.734389,0.012472,0.016699,112,14,0.875000,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square__eps0.3__n_queries450,baseline_none,missing,,,,,0.746861,0.750601,-0.003740,-0.005008,112,9,0.919643,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square__eps0.3__n_queries500,baseline_none,missing,,,,,0.746861,0.789470,-0.042609,-0.057051,112,8,0.928571,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_best,baseline_none,missing,,,,,0.746861,0.789470,-0.042609,-0.057051,112,8,0.928571,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.01__n_queries100,baseline_none,missing,,,,,0.746861,0.788470,-0.041609,-0.055711,112,20,0.821429,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.05__n_queries275,baseline_none,missing,,,,,0.746861,0.763938,-0.017077,-0.022865,112,20,0.821429,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.05__n_queries50,baseline_none,missing,,,,,0.746861,0.780748,-0.033887,-0.045373,112,20,0.821429,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.05__n_queries500,baseline_none,missing,,,,,0.746861,0.774508,-0.027647,-0.037017,112,18,0.839286,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.155__n_queries100,baseline_none,missing,,,,,0.746861,0.736815,0.010046,0.013451,112,21,0.812500,,,,,,,,,,,false,,,false
yolo,42,square,,,,tune_atk_square_scan__eps0.3__n_queries100,baseline_none,missing,,,,,0.746861,0.735340,0.011521,0.015425,112,20,0.821429,,,,,,,,,,,false,,,false
yolo,42,deepfool,untargeted_conf_suppression,,,validate_atk_deepfool,validate_baseline,complete,0.576484,0.036292,0.540192,0.937046,0.749827,,,,1576,0,1.000000,,,,,,,,,,,false,,,false
yolo,42,dispersion_reduction,,,,validate_atk_dispersion_reduction,validate_baseline,complete,0.576484,0.172518,0.403966,0.700740,0.749827,0.712233,0.037594,0.050137,1576,17,0.989213,,,,,,,,,,,false,,,false
yolo,42,square,,,,validate_atk_square,validate_baseline,complete,0.576484,0.399119,0.177365,0.307667,0.749827,0.701279,0.048549,0.064746,1576,95,0.939721,,,,,,,,,,,false,,,false
